name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
White Lightning,3.0,1,5.12a,['Sport'],,1,,,California,Bear Crag,0,0,"['5.11a', '5.12b', '5.11c', '5.12a']",
Serpico,2.8,5,5.12a,['Sport'],80,1,,,California,Bear Crag,2,1,"['5.11a', '5.12b', '5.11c', '5.12a']",
Texas Chainsaw Massacre,2.0,2,5.12b,['Sport'],,1,,,California,Bear Crag,0,0,"['5.12a', '5.11a', '5.11c', '5.12a']",
Stairway to Heaven,1.8,8,5.10a,['Sport'],65,1,,,California,Bear Crag,0,1,"['5.11d', '5.12c', '5.11d', '5.11b', '5.12c', '5.12d']",
Regurgitator,2.9,14,5.11b,['Sport'],70,1,,,California,Bear Crag,0,0,"['5.11d', '5.12c', '5.11d', '5.10a', '5.12c', '5.12d']",
Dilate,2.7,3,5.11d,['Sport'],80,1,,,California,Bear Crag,0,0,"['5.12c', '5.11d', '5.11b', '5.10a', '5.12c', '5.12d']",
Reanimator,3.5,10,5.11d,['Sport'],80,1,,,California,Bear Crag,0,1,"['5.12c', '5.11d', '5.11b', '5.10a', '5.12c', '5.12d']",
Perpetrator,3.0,1,5.12c,['Sport'],,1,,,California,Bear Crag,0,0,"['5.11d', '5.11d', '5.11b', '5.10a', '5.12c', '5.12d']",
Tales From the Crypt,2.8,6,5.12c,['Sport'],75,1,,,California,Bear Crag,1,0,"['5.11d', '5.11d', '5.11b', '5.10a', '5.12c', '5.12d']",
To the Grave,3.7,3,5.12d,['Sport'],80,1,,,California,Bear Crag,0,0,"['5.11d', '5.12c', '5.11d', '5.11b', '5.10a', '5.12c']",
Barely Canadian,3.0,1,5.11c,['Sport'],90,1,,,California,Bear Crag,0,0,"['5.12c', '5.12b']",
Penetrator,3.8,13,5.12b,['Sport'],90,1,,,California,Bear Crag,0,4,"['5.11c', '5.12c']",
Idiot Savant,2.0,1,5.12c,['Sport'],,1,,,California,Bear Crag,0,1,"['5.11c', '5.12b']",
The Moisturizer,3.0,1,5.12a,['Sport'],100,1,,,California,Bear Crag,0,0,"['5.12c', '5.13c', '5.13a']",
Grain Tamer,0.0,2,5.12c,['Sport'],80,1,,,California,Bear Crag,0,1,"['5.13c', '5.12a', '5.13a']",
Tension Tamer,2.7,6,5.13a,['Sport'],90,1,,,California,Bear Crag,3,1,"['5.12c', '5.13c', '5.12a']",
I Fly,3.5,2,5.13c,['Sport'],65,1,,,California,Bear Crag,1,0,"['5.12c', '5.12a', '5.13a']",
Right Again,2.6,10,5.10d,['Sport'],100,1,,,California,Bear Crag,0,0,"['5.11d', '5.12a', '5.11c', '5.11c', '5.11b', '5.11a', '5.12b', '5.12b', '5.12a']",
Optimizer,3.5,14,5.11a,['Sport'],115,1,,,California,Bear Crag,0,3,"['5.11d', '5.12a', '5.11c', '5.11c', '5.11b', '5.12b', '5.10d', '5.12b', '5.12a']",
Hamster Style,3.0,15,5.11b,['Sport'],100,1,,,California,Bear Crag,1,0,"['5.11d', '5.12a', '5.11c', '5.11c', '5.11a', '5.12b', '5.10d', '5.12b', '5.12a']",
Cupcake,2.2,5,5.11c,['Sport'],90,1,,,California,Bear Crag,0,0,"['5.11d', '5.12a', '5.11c', '5.11b', '5.11a', '5.12b', '5.10d', '5.12b', '5.12a']",
Garden Route,3.8,9,5.11c,['Sport'],100,1,,,California,Bear Crag,0,0,"['5.11d', '5.12a', '5.11c', '5.11b', '5.11a', '5.12b', '5.10d', '5.12b', '5.12a']",
Cable Guy,3.8,12,5.11d,['Sport'],100,1,,,California,Bear Crag,0,0,"['5.12a', '5.11c', '5.11c', '5.11b', '5.11a', '5.12b', '5.10d', '5.12b', '5.12a']",
Cone of Silence,3.8,6,5.12a,['Sport'],100,1,,,California,Bear Crag,0,1,"['5.11d', '5.11c', '5.11c', '5.11b', '5.11a', '5.12b', '5.10d', '5.12b', '5.12a']",
The TET Offensive,4.0,2,5.12a,['Sport'],115,1,,,California,Bear Crag,0,0,"['5.11d', '5.11c', '5.11c', '5.11b', '5.11a', '5.12b', '5.10d', '5.12b', '5.12a']",
The Polarizer,3.0,1,5.12b,['Sport'],115,1,,,California,Bear Crag,0,0,"['5.11d', '5.12a', '5.11c', '5.11c', '5.11b', '5.11a', '5.10d', '5.12b', '5.12a']",
Supersizer,4.0,1,5.12b,['Sport'],115,1,,,California,Bear Crag,0,1,"['5.11d', '5.12a', '5.11c', '5.11c', '5.11b', '5.11a', '5.10d', '5.12b', '5.12a']",
Chicks Dig It,3.3,33,5.11a,['Sport'],75,1,,,California,Bear Crag,1,1,"['5.11b', '5.11d', '5.12b', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",
Appetizer,2.6,5,5.11b,['Sport'],70,1,,,California,Bear Crag,0,1,"['5.11d', '5.12b', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",
Friendly Fire,3.6,22,5.11b,['Sport'],90,1,,,California,Bear Crag,1,1,"['5.11d', '5.12b', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",
Dudes Squeezin Chicks,2.5,4,5.11b,['Sport'],100,1,,,California,Bear Crag,0,0,"['5.11d', '5.12b', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",
Holy Smoke,1.5,2,5.11c,['Sport'],90,1,,,California,Bear Crag,0,0,"['5.11b', '5.11d', '5.12b', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.12a']",
Ashes to Ashes,2.0,1,5.11d,['Sport'],90,1,,,California,Bear Crag,0,0,"['5.11b', '5.12b', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",
Dudes Lick It,3.0,5,5.11d,['Sport'],100,1,,,California,Bear Crag,0,0,"['5.11b', '5.12b', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",
Mercy Buckets,3.8,24,5.12a,['Sport'],70,1,,,California,Bear Crag,0,2,"['5.11b', '5.11d', '5.12b', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c']",
Gold Rush,3.0,6,5.12b,['Sport'],70,1,,,California,Bear Crag,1,0,"['5.11b', '5.11d', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",
Flamed Thrower,3.8,17,5.12b,['Sport'],70,1,,,California,Bear Crag,0,3,"['5.11b', '5.11d', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",
Bear Backin It,3.8,8,5.12b,['Sport'],100,1,,,California,Bear Crag,0,1,"['5.11b', '5.11d', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",
